Time_Index,natural_gas_combined_cycle,solar_pv_scen_1,onshore_wind_scen_1,solar_pv_scen_2,onshore_wind_scen_2,solar_pv_scen_3,onshore_wind_scen_3,solar_pv_scen_4,onshore_wind_scen_4,solar_pv_scen_5,onshore_wind_scen_5,battery
158,1,0.6311,0.274789572,0.662655,0.288529051,0.69421,0.302268529,0.599545,0.261050093,0.56799,0.247310615,1
159,1,0.5093,0.356991559,0.534765,0.374841137,0.56023,0.392690715,0.483835,0.339141981,0.45837,0.321292403,1
160,1,0.299,0.405605167,0.31395,0.425885425,0.3289,0.446165684,0.28405,0.385324909,0.2691,0.36504465,1
161,1,0.0553,0.35197863,0.058065,0.369577562,0.06083,0.387176493,0.052535,0.334379699,0.04977,0.316780767,1
162,1,0,0.68602097,0,0.720322019,0,0.754623067,0,0.651719922,0,0.617418873,1
163,1,0,0.922309518,0,0.968424994,0,1.01454047,0,0.876194042,0,0.830078566,1
164,1,0,0.88975215,0,0.934239758,0,0.978727365,0,0.845264543,0,0.800776935,1
165,1,0,0.945815384,0,0.993106153,0,1.040396922,0,0.898524615,0,0.851233846,1
166,1,0,0.879520893,0,0.923496938,0,0.967472982,0,0.835544848,0,0.791568804,1
167,1,0,0.912140965,0,0.957748013,0,1.003355062,0,0.866533917,0,0.820926869,1
168,1,0,0.975267529,0,1.024030905,0,1.072794282,0,0.926504153,0,0.877740776,1
169,1,0,0.982451737,0,1.031574324,0,1.080696911,0,0.93332915,0,0.884206563,1
170,1,0,0.94411397,0,0.991319669,0,1.038525367,0,0.896908272,0,0.849702573,1
171,1,0,0.942038298,0,0.989140213,0,1.036242128,0,0.894936383,0,0.847834468,1
172,1,0,0.993139267,0,1.04279623,0,1.092453194,0,0.943482304,0,0.89382534,1
173,1,0,0.992836118,0,1.042477924,0,1.09211973,0,0.943194312,0,0.893552506,1
174,1,0,0.994497001,0,1.044221851,0,1.093946701,0,0.944772151,0,0.895047301,1
175,1,0,0.957015872,0,1.004866666,0,1.052717459,0,0.909165078,0,0.861314285,1
176,1,0,0.532281816,0,0.558895907,0,0.585509998,0,0.505667725,0,0.479053634,1
177,1,0.2056,0.600429296,0.21588,0.630450761,0.22616,0.660472226,0.19532,0.570407831,0.18504,0.540386366,1
178,1,0.4097,0.523252964,0.430185,0.549415612,0.45067,0.57557826,0.389215,0.497090316,0.36873,0.470927668,1
179,1,0.5584,0.583462417,0.58632,0.612635538,0.61424,0.641808659,0.53048,0.554289296,0.50256,0.525116175,1
180,1,0.4656,0.714919925,0.48888,0.750665921,0.51216,0.786411918,0.44232,0.679173929,0.41904,0.643427933,1
181,1,0.5802,0.718139231,0.60921,0.754046193,0.63822,0.789953154,0.55119,0.682232269,0.52218,0.646325308,1
182,1,0.5964,0.445379853,0.62622,0.467648846,0.65604,0.489917838,0.56658,0.42311086,0.53676,0.400841868,1
183,1,0.5111,0.50075835,0.536655,0.525796268,0.56221,0.550834185,0.485545,0.475720433,0.45999,0.450682515,1
184,1,0.3605,0.317829728,0.378525,0.333721214,0.39655,0.349612701,0.342475,0.301938242,0.32445,0.286046755,1
