Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_MW_z1,Load_MW_z2
,,,,,,,,527,62141,2761
,,,,,,,,528,60080,2670
,,,,,,,,529,60281,2679
,,,,,,,,530,59331,2636
,,,,,,,,531,55793,2479
,,,,,,,,532,52954,2353
,,,,,,,,533,49744,2210
,,,,,,,,534,46685,2074
,,,,,,,,535,43760,1944
,,,,,,,,536,45911,2040
,,,,,,,,537,48239,2143
,,,,,,,,538,49712,2209
,,,,,,,,539,52830,2348
,,,,,,,,540,55159,2451
,,,,,,,,541,61294,2724
,,,,,,,,542,63529,2823
,,,,,,,,543,61297,2724
,,,,,,,,544,57544,2557
,,,,,,,,545,57317,2547
,,,,,,,,546,57088,2537
,,,,,,,,547,57923,2574
,,,,,,,,548,60733,2699
,,,,,,,,549,61952,2753
,,,,,,,,550,63968,2843
,,,,,,,,551,66571,2958
,,,,,,,,552,67025,2978
,,,,,,,,553,62572,2780
,,,,,,,,554,54439,2419
,,,,,,,,555,50682,2252
,,,,,,,,556,47713,2120
,,,,,,,,557,45199,2008
,,,,,,,,558,44277,1967
,,,,,,,,559,46123,2049
,,,,,,,,560,48324,2147
,,,,,,,,561,50338,2237
,,,,,,,,562,51689,2297
,,,,,,,,563,54367,2416
,,,,,,,,564,55962,2487
,,,,,,,,565,62242,2766
,,,,,,,,566,64332,2859
,,,,,,,,567,61847,2748
,,,,,,,,568,58342,2593
,,,,,,,,569,58731,2610
,,,,,,,,570,59368,2638
,,,,,,,,571,61077,2714
,,,,,,,,572,62604,2782
,,,,,,,,573,63127,2805
,,,,,,,,574,64772,2878
,,,,,,,,575,66917,2974
,,,,,,,,576,67443,2997
,,,,,,,,577,61824,2747
,,,,,,,,578,53554,2380
,,,,,,,,579,49700,2208
,,,,,,,,580,46677,2074
,,,,,,,,581,44114,1960
,,,,,,,,582,42998,1911
,,,,,,,,583,44259,1967
,,,,,,,,584,46290,2057
,,,,,,,,585,48498,2155
,,,,,,,,586,50407,2240
,,,,,,,,587,53812,2391
,,,,,,,,588,56055,2491
,,,,,,,,589,62208,2764
,,,,,,,,590,64369,2860
,,,,,,,,591,62232,2765
,,,,,,,,592,59090,2626
,,,,,,,,593,59658,2651
,,,,,,,,594,60196,2675
,,,,,,,,595,61569,2736
,,,,,,,,596,63519,2823
,,,,,,,,597,64306,2858
,,,,,,,,598,66102,2937
,,,,,,,,599,68526,3045
,,,,,,,,600,69152,3073
,,,,,,,,601,63912,2840
,,,,,,,,602,56946,2530
,,,,,,,,603,52847,2348
,,,,,,,,604,49653,2206
,,,,,,,,605,46976,2087
,,,,,,,,606,45855,2038
,,,,,,,,607,46840,2081
,,,,,,,,608,49233,2188
,,,,,,,,609,51665,2296
,,,,,,,,610,53295,2368
,,,,,,,,611,56240,2499
,,,,,,,,612,57606,2560
,,,,,,,,613,63845,2837
,,,,,,,,614,65476,2910
,,,,,,,,615,62952,2797
,,,,,,,,616,58890,2617
,,,,,,,,617,58682,2608
,,,,,,,,618,58269,2589
,,,,,,,,619,58981,2621
,,,,,,,,620,61663,2740
,,,,,,,,621,63027,2801
,,,,,,,,622,65401,2906
,,,,,,,,623,68104,3026
,,,,,,,,624,68869,3060
,,,,,,,,625,64122,2849
,,,,,,,,626,55853,2482
,,,,,,,,627,52471,2332
,,,,,,,,628,49933,2219
,,,,,,,,629,47657,2118
,,,,,,,,630,46987,2088
,,,,,,,,631,49193,2186
,,,,,,,,632,51955,2309
,,,,,,,,633,54729,2432
,,,,,,,,634,55857,2482
,,,,,,,,635,57862,2571
,,,,,,,,636,58789,2612
,,,,,,,,637,64818,2880
,,,,,,,,638,66190,2941
,,,,,,,,639,62856,2793
,,,,,,,,640,58172,2585
,,,,,,,,641,57659,2562
,,,,,,,,642,56940,2530
,,,,,,,,643,57052,2535
,,,,,,,,644,58971,2620
,,,,,,,,645,59510,2644
,,,,,,,,646,61371,2727
,,,,,,,,647,64197,2853
,,,,,,,,648,65203,2897
,,,,,,,,649,60620,2694
,,,,,,,,650,51217,2276
,,,,,,,,651,47346,2104
,,,,,,,,652,44218,1965
,,,,,,,,653,41837,1859
,,,,,,,,654,40978,1821
,,,,,,,,655,44798,1991
,,,,,,,,656,44189,1963
,,,,,,,,657,48054,2135
,,,,,,,,658,50849,2259
,,,,,,,,659,52904,2351
,,,,,,,,660,54738,2432
,,,,,,,,661,60308,2680
,,,,,,,,662,59606,2649
,,,,,,,,663,59479,2643
,,,,,,,,664,60104,2671
,,,,,,,,665,60943,2708
,,,,,,,,666,60590,2692
,,,,,,,,667,62368,2771
,,,,,,,,668,66310,2947
,,,,,,,,669,65777,2923
,,,,,,,,670,65473,2909
,,,,,,,,671,65545,2913
,,,,,,,,672,63480,2821
,,,,,,,,673,63704,2831
,,,,,,,,674,62080,2759
,,,,,,,,675,59153,2629
,,,,,,,,676,56458,2509
,,,,,,,,677,53874,2394
,,,,,,,,678,51625,2294
,,,,,,,,679,50704,2253
,,,,,,,,680,49401,2195
