Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_MW_z1_scen1,Load_MW_z1_scen2,Load_MW_z1_scen3,Load_MW_z2_scen1,Load_MW_z2_scen2,Load_MW_z2_scen3,Load_MW_z3_scen1,Load_MW_z3_scen2,Load_MW_z3_scen3
,,,,,,,,150,7571,7949.55,7192.45,2162,2270.1,2053.9,1032,1083.6,980.4
,,,,,,,,151,8073,8476.65,7669.35,2305,2420.25,2189.75,1100,1155,1045
,,,,,,,,152,8602,9032.1,8171.9,2456,2578.8,2333.2,1172,1230.6,1113.4
,,,,,,,,153,9143,9600.15,8685.85,2611,2741.55,2480.45,1247,1309.35,1184.65
,,,,,,,,154,9471,9944.55,8997.45,2704,2839.2,2568.8,1291,1355.55,1226.45
,,,,,,,,155,9563,10041.15,9084.85,2731,2867.55,2594.45,1303,1368.15,1237.85
,,,,,,,,156,9486,9960.3,9011.7,2709,2844.45,2573.55,1293,1357.65,1228.35
,,,,,,,,157,9312,9777.6,8846.4,2659,2791.95,2526.05,1269,1332.45,1205.55
,,,,,,,,158,9115,9570.75,8659.25,2603,2733.15,2472.85,1242,1304.1,1179.9
,,,,,,,,159,8976,9424.8,8527.2,2564,2692.2,2435.8,1224,1285.2,1162.8
,,,,,,,,160,9072,9525.6,8618.4,2591,2720.55,2461.45,1236,1297.8,1174.2
,,,,,,,,161,9736,10222.8,9249.2,2780,2919,2641,1328,1394.4,1261.6
,,,,,,,,162,10403,10923.15,9882.85,2970,3118.5,2821.5,1418,1488.9,1347.1
,,,,,,,,163,10280,10794,9766,2936,3082.8,2789.2,1402,1472.1,1331.9
,,,,,,,,164,9950,10447.5,9452.5,2842,2984.1,2699.9,1357,1424.85,1289.15
,,,,,,,,165,9638,10119.9,9156.1,2752,2889.6,2614.4,1314,1379.7,1248.3
,,,,,,,,166,9187,9646.35,8727.65,2624,2755.2,2492.8,1252,1314.6,1189.4
,,,,,,,,167,8597,9026.85,8167.15,2455,2577.75,2332.25,1172,1230.6,1113.4
,,,,,,,,168,7948,8345.4,7550.6,2270,2383.5,2156.5,1084,1138.2,1029.8
,,,,,,,,169,7404,7774.2,7033.8,2114,2219.7,2008.3,1010,1060.5,959.5
,,,,,,,,170,7089,7443.45,6734.55,2024,2125.2,1922.8,966,1014.3,917.7
,,,,,,,,171,6902,7247.1,6556.9,1971,2069.55,1872.45,941,988.05,893.95
,,,,,,,,172,6852,7194.6,6509.4,1957,2054.85,1859.15,934,980.7,887.3
,,,,,,,,173,6904,7249.2,6558.8,1972,2070.6,1873.4,941,988.05,893.95
,,,,,,,,174,7105,7460.25,6749.75,2029,2130.45,1927.55,969,1017.45,920.55
,,,,,,,,175,7494,7868.7,7119.3,2140,2247,2033,1021,1072.05,969.95
,,,,,,,,176,7901,8296.05,7505.95,2256,2368.8,2143.2,1077,1130.85,1023.15
,,,,,,,,177,8468,8891.4,8044.6,2418,2538.9,2297.1,1154,1211.7,1096.3
,,,,,,,,178,8906,9351.3,8460.7,2544,2671.2,2416.8,1214,1274.7,1153.3
,,,,,,,,179,9183,9642.15,8723.85,2623,2754.15,2491.85,1252,1314.6,1189.4
,,,,,,,,180,9356,9823.8,8888.2,2672,2805.6,2538.4,1276,1339.8,1212.2
,,,,,,,,181,9386,9855.3,8916.7,2680,2814,2546,1280,1344,1216
,,,,,,,,182,9334,9800.7,8867.3,2665,2798.25,2531.75,1272,1335.6,1208.4
,,,,,,,,183,9301,9766.05,8835.95,2656,2788.8,2523.2,1268,1331.4,1204.6
,,,,,,,,184,9431,9902.55,8959.45,2694,2828.7,2559.3,1286,1350.3,1221.7
,,,,,,,,185,10240,10752,9728,2925,3071.25,2778.75,1396,1465.8,1326.2
,,,,,,,,186,11081,11635.05,10526.95,3165,3323.25,3006.75,1511,1586.55,1435.45
,,,,,,,,187,11064,11617.2,10510.8,3160,3318,3002,1509,1584.45,1433.55
,,,,,,,,188,10779,11317.95,10240.05,3078,3231.9,2924.1,1469,1542.45,1395.55
,,,,,,,,189,10405,10925.25,9884.75,2971,3119.55,2822.45,1418,1488.9,1347.1
,,,,,,,,190,9791,10280.55,9301.45,2796,2935.8,2656.2,1335,1401.75,1268.25
,,,,,,,,191,8983,9432.15,8533.85,2565,2693.25,2436.75,1225,1286.25,1163.75
,,,,,,,,192,8276,8689.8,7862.2,2364,2482.2,2245.8,1128,1184.4,1071.6
,,,,,,,,193,7813,8203.65,7422.35,2231,2342.55,2119.45,1065,1118.25,1011.75
,,,,,,,,194,7590,7969.5,7210.5,2168,2276.4,2059.6,1035,1086.75,983.25
,,,,,,,,195,7507,7882.35,7131.65,2144,2251.2,2036.8,1024,1075.2,972.8
,,,,,,,,196,7536,7912.8,7159.2,2152,2259.6,2044.4,1027,1078.35,975.65
,,,,,,,,197,7808,8198.4,7417.6,2230,2341.5,2118.5,1065,1118.25,1011.75
,,,,,,,,198,8592,9021.6,8162.4,2454,2576.7,2331.3,1171,1229.55,1112.45
,,,,,,,,199,10003,10503.15,9502.85,2857,2999.85,2714.15,1363,1431.15,1294.85
,,,,,,,,200,10818,11358.9,10277.1,3090,3244.5,2935.5,1475,1548.75,1401.25
,,,,,,,,201,10898,11442.9,10353.1,3112,3267.6,2956.4,1486,1560.3,1411.7
,,,,,,,,202,10909,11454.45,10363.55,3115,3270.75,2959.25,1487,1561.35,1412.65
,,,,,,,,203,10903,11448.15,10357.85,3114,3269.7,2958.3,1487,1561.35,1412.65
,,,,,,,,204,10810,11350.5,10269.5,3087,3241.35,2932.65,1474,1547.7,1400.3
,,,,,,,,205,10627,11158.35,10095.65,3035,3186.75,2883.25,1449,1521.45,1376.55
,,,,,,,,206,10513,11038.65,9987.35,3002,3152.1,2851.9,1434,1505.7,1362.3
,,,,,,,,207,10366,10884.3,9847.7,2960,3108,2812,1414,1484.7,1343.3
,,,,,,,,208,10401,10921.05,9880.95,2970,3118.5,2821.5,1418,1488.9,1347.1
,,,,,,,,209,11101,11656.05,10545.95,3170,3328.5,3011.5,1514,1589.7,1438.3
,,,,,,,,210,12044,12646.2,11441.8,3440,3612,3268,1642,1724.1,1559.9
,,,,,,,,211,12015,12615.75,11414.25,3431,3602.55,3259.45,1638,1719.9,1556.1
,,,,,,,,212,11693,12277.65,11108.35,3339,3505.95,3172.05,1594,1673.7,1514.3
,,,,,,,,213,11225,11786.25,10663.75,3205,3365.25,3044.75,1530,1606.5,1453.5
,,,,,,,,214,10453,10975.65,9930.35,2985,3134.25,2835.75,1425,1496.25,1353.75
,,,,,,,,215,9470,9943.5,8996.5,2704,2839.2,2568.8,1291,1355.55,1226.45
,,,,,,,,216,8600,9030,8170,2456,2578.8,2333.2,1172,1230.6,1113.4
,,,,,,,,217,8029,8430.45,7627.55,2293,2407.65,2178.35,1095,1149.75,1040.25
