Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_MW_z1,Load_MW_z2,Load_MW_z3
,,,,,,,,432,4624.5,1980.75,1324.05
,,,,,,,,433,4367,1870.5,1250.55
,,,,,,,,434,4244,1818,1214.85
,,,,,,,,435,4193,1796.25,1200.15
,,,,,,,,436,4202.5,1800,1203.3
,,,,,,,,437,4336,1857,1241.1
,,,,,,,,438,4723,2023.5,1352.4
,,,,,,,,439,5430,2325.75,1554
,,,,,,,,440,5800.5,2484.75,1660.05
,,,,,,,,441,5816.5,2491.5,1665.3
,,,,,,,,442,5787,2479.5,1656.9
,,,,,,,,443,5755.5,2465.25,1648.5
,,,,,,,,444,5684,2434.5,1627.5
,,,,,,,,445,5595,2397,1601.25
,,,,,,,,446,5539,2373,1585.5
,,,,,,,,447,5473,2344.5,1567.65
,,,,,,,,448,5510.5,2361,1578.15
,,,,,,,,449,5788.5,2479.5,1657.95
,,,,,,,,450,6176,2646,1768.2
,,,,,,,,451,6165,2640.75,1765.05
,,,,,,,,452,6058.5,2595.75,1734.6
,,,,,,,,453,5815.5,2491.5,1664.25
,,,,,,,,454,5432.5,2327.25,1555.05
,,,,,,,,455,4950,2120.25,1417.5
,,,,,,,,456,4512.5,1933.5,1292.55
,,,,,,,,457,4217,1806.75,1207.5
,,,,,,,,458,4050,1735.5,1160.25
,,,,,,,,459,3973.5,1701.75,1137.15
,,,,,,,,460,3956.5,1695,1132.95
,,,,,,,,461,4076,1746.75,1166.55
,,,,,,,,462,4433,1899,1269.45
,,,,,,,,463,5094,2182.5,1458.45
,,,,,,,,464,5445.5,2333.25,1558.2
,,,,,,,,465,5485,2349.75,1569.75
,,,,,,,,466,5501,2356.5,1575
,,,,,,,,467,5516.5,2363.25,1579.2
,,,,,,,,468,5494,2353.5,1572.9
,,,,,,,,469,5432.5,2327.25,1555.05
,,,,,,,,470,5393,2310.75,1543.5
,,,,,,,,471,5328,2282.25,1525.65
,,,,,,,,472,5337,2286.75,1527.75
,,,,,,,,473,5574,2388,1596
,,,,,,,,474,6012.5,2576.25,1722
,,,,,,,,475,5990,2565.75,1714.65
,,,,,,,,476,5843,2502.75,1672.65
,,,,,,,,477,5652.5,2421.75,1618.05
,,,,,,,,478,5380.5,2304.75,1540.35
,,,,,,,,479,5009.5,2145.75,1434.3
,,,,,,,,480,4621.5,1979.25,1323
