Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_MW_z1
,,,,,,,,466,3911
,,,,,,,,467,3922
,,,,,,,,468,3906
,,,,,,,,469,3862.25
,,,,,,,,470,3834.25
,,,,,,,,471,3788
,,,,,,,,472,3794.5
,,,,,,,,473,3963
,,,,,,,,474,4275
,,,,,,,,475,4258.5
,,,,,,,,476,4154
,,,,,,,,477,4018.75
,,,,,,,,478,3825.25
,,,,,,,,479,3561.5
,,,,,,,,480,3285.5
,,,,,,,,481,3089.25
,,,,,,,,482,2978.75
,,,,,,,,483,2911.25
,,,,,,,,484,2885
,,,,,,,,485,2909.75
,,,,,,,,486,3004
,,,,,,,,487,3189.75
,,,,,,,,488,3411
,,,,,,,,489,3658
,,,,,,,,490,3872.75
,,,,,,,,491,4005.25
,,,,,,,,492,4061.75
,,,,,,,,493,4061.5
,,,,,,,,494,4009.75
,,,,,,,,495,3944.5
,,,,,,,,496,3916.5
,,,,,,,,497,4066.25
,,,,,,,,498,4323
,,,,,,,,499,4278.5
,,,,,,,,500,4130.25
,,,,,,,,501,3977.5
,,,,,,,,502,3780
,,,,,,,,503,3537.5
,,,,,,,,504,3300
,,,,,,,,505,3114.5
,,,,,,,,506,3012.5
,,,,,,,,507,2963
,,,,,,,,508,2941.75
,,,,,,,,509,2961.25
,,,,,,,,510,3041.75
,,,,,,,,511,3185
,,,,,,,,512,3341.25
,,,,,,,,513,3548.25
,,,,,,,,514,3676
,,,,,,,,515,3726.5
,,,,,,,,516,3725.5
,,,,,,,,517,3703.25
,,,,,,,,518,3675.25
,,,,,,,,519,3664.25
,,,,,,,,520,3670.75
,,,,,,,,521,3842
,,,,,,,,522,4097.5
,,,,,,,,523,4099
,,,,,,,,524,4024.25
,,,,,,,,525,3876.75
,,,,,,,,526,3633.75
,,,,,,,,527,3362
,,,,,,,,528,3086.5
,,,,,,,,529,2888.75
,,,,,,,,530,2787.5
,,,,,,,,531,2747
,,,,,,,,532,2749.25
,,,,,,,,533,2834.25
,,,,,,,,534,3093.75
,,,,,,,,535,3566.75
,,,,,,,,536,3832.25
,,,,,,,,537,3890
,,,,,,,,538,3922
,,,,,,,,539,3952.75
,,,,,,,,540,3946.75
,,,,,,,,541,3908.75
,,,,,,,,542,3882.25
,,,,,,,,543,3840.25
,,,,,,,,544,3842
,,,,,,,,545,4017
,,,,,,,,546,4272.5
,,,,,,,,547,4237
,,,,,,,,548,4102.75
,,,,,,,,549,3909
,,,,,,,,550,3624.75
,,,,,,,,551,3268
,,,,,,,,552,2945.25
,,,,,,,,553,2739.5
,,,,,,,,554,2609.5
,,,,,,,,555,2545.75
,,,,,,,,556,2529.5
,,,,,,,,557,2601.75
,,,,,,,,558,2841.75
,,,,,,,,559,3319
,,,,,,,,560,3582.5
,,,,,,,,561,3609.25
,,,,,,,,562,3594.25
,,,,,,,,563,3598.5
,,,,,,,,564,3583.5
,,,,,,,,565,3542.25
,,,,,,,,566,3515.5
,,,,,,,,567,3477.5
,,,,,,,,568,3480.5
,,,,,,,,569,3654.75
,,,,,,,,570,3975.25
,,,,,,,,571,3978.5
,,,,,,,,572,3883.75
,,,,,,,,573,3730
,,,,,,,,574,3475
,,,,,,,,575,3156.75
,,,,,,,,576,2858.75
,,,,,,,,577,2667.25
,,,,,,,,578,2570.75
,,,,,,,,579,2527.75
,,,,,,,,580,2530
,,,,,,,,581,2611.25
,,,,,,,,582,2874.5
,,,,,,,,583,3373.5
,,,,,,,,584,3652
,,,,,,,,585,3674.75
,,,,,,,,586,3695.75
,,,,,,,,587,3712.25
,,,,,,,,588,3702.75
,,,,,,,,589,3665.75
,,,,,,,,590,3645.75
,,,,,,,,591,3604
,,,,,,,,592,3598.25
,,,,,,,,593,3760.25
,,,,,,,,594,4114.25
,,,,,,,,595,4138
,,,,,,,,596,4043.75
,,,,,,,,597,3895.5
,,,,,,,,598,3629.75
,,,,,,,,599,3285.5
,,,,,,,,600,2980.5
,,,,,,,,601,2781.75
,,,,,,,,602,2680
,,,,,,,,603,2632
,,,,,,,,604,2630
,,,,,,,,605,2713
,,,,,,,,606,2965.75
,,,,,,,,607,3461.25
,,,,,,,,608,3726.25
,,,,,,,,609,3744
,,,,,,,,610,3732.75
,,,,,,,,611,3723.25
,,,,,,,,612,3698.75
,,,,,,,,613,3669.25
,,,,,,,,614,3666.25
,,,,,,,,615,3656
,,,,,,,,616,3684.25
,,,,,,,,617,3863.5
,,,,,,,,618,4145
,,,,,,,,619,4134
,,,,,,,,620,4038.75
,,,,,,,,621,3878.75
,,,,,,,,622,3622.5
,,,,,,,,623,3286
,,,,,,,,624,2984.75
,,,,,,,,625,2780.5
,,,,,,,,626,2663.75
,,,,,,,,627,2610.25
,,,,,,,,628,2591.25
,,,,,,,,629,2659.75
,,,,,,,,630,2894.25
,,,,,,,,631,3337.25
,,,,,,,,632,3637.5
,,,,,,,,633,3730.5
,,,,,,,,634,3791.25
,,,,,,,,635,3832
,,,,,,,,636,3845
,,,,,,,,637,3818.75
,,,,,,,,638,3788.5
,,,,,,,,639,3738.25
,,,,,,,,640,3721.25
,,,,,,,,641,3835
,,,,,,,,642,4000.75
,,,,,,,,643,3941.75
,,,,,,,,644,3809
,,,,,,,,645,3665.75
,,,,,,,,646,3472.25
,,,,,,,,647,3213.75
,,,,,,,,648,2952.25
,,,,,,,,649,2741.75
,,,,,,,,650,2615
,,,,,,,,651,2550
,,,,,,,,652,2526
,,,,,,,,653,2549
,,,,,,,,654,2655.75
,,,,,,,,655,2840
,,,,,,,,656,3036.75
,,,,,,,,657,3245.25
,,,,,,,,658,3378.75
,,,,,,,,659,3437.75
,,,,,,,,660,3404.75
,,,,,,,,661,3340.5
,,,,,,,,662,3253.25
,,,,,,,,663,3200
,,,,,,,,664,3201
,,,,,,,,665,3354
,,,,,,,,666,3676
,,,,,,,,667,3702.75
,,,,,,,,668,3594.5
,,,,,,,,669,3484.75
,,,,,,,,670,3317
,,,,,,,,671,3103.25
,,,,,,,,672,2875.25
,,,,,,,,673,2689.75
,,,,,,,,674,2578.75
,,,,,,,,675,2519.5
,,,,,,,,676,2500.25
,,,,,,,,677,2524.25
,,,,,,,,678,2599.5
,,,,,,,,679,2737
,,,,,,,,680,2875.75
,,,,,,,,681,3083
,,,,,,,,682,3223.75
,,,,,,,,683,3300.75
,,,,,,,,684,3327.75
,,,,,,,,685,3317.25
,,,,,,,,686,3283.5
,,,,,,,,687,3248.25
,,,,,,,,688,3262.25
,,,,,,,,689,3450.25
,,,,,,,,690,3832.75
,,,,,,,,691,3892.5
,,,,,,,,692,3800.5
,,,,,,,,693,3657.25
,,,,,,,,694,3426.25
,,,,,,,,695,3145.5
,,,,,,,,696,2884.75
,,,,,,,,697,2708.5
,,,,,,,,698,2621.25
,,,,,,,,699,2587.25
,,,,,,,,700,2597.5
,,,,,,,,701,2691.25
,,,,,,,,702,2956.75
,,,,,,,,703,3457.5
,,,,,,,,704,3725.5
,,,,,,,,705,3761
,,,,,,,,706,3792.75
,,,,,,,,707,3790
,,,,,,,,708,3773.25
,,,,,,,,709,3744
,,,,,,,,710,3716
,,,,,,,,711,3676.75
,,,,,,,,712,3689.75
,,,,,,,,713,3845
,,,,,,,,714,4210.75
,,,,,,,,715,4256.75
,,,,,,,,716,4156.25
,,,,,,,,717,4000.5
,,,,,,,,718,3727.25
,,,,,,,,719,3380.25
,,,,,,,,720,3068.5
,,,,,,,,721,2873.75
,,,,,,,,722,2767.25
,,,,,,,,723,2715.75
,,,,,,,,724,2711
,,,,,,,,725,2789.25
,,,,,,,,726,3041.75
,,,,,,,,727,3522.75
,,,,,,,,728,3789.25
,,,,,,,,729,3815
,,,,,,,,730,3811
,,,,,,,,731,3792.75
,,,,,,,,732,3749.25
,,,,,,,,733,3685
,,,,,,,,734,3633
,,,,,,,,735,3572
,,,,,,,,736,3551.25
,,,,,,,,737,3673.25
,,,,,,,,738,4014.75
,,,,,,,,739,4060.5
,,,,,,,,740,3963
,,,,,,,,741,3801.5
,,,,,,,,742,3544.5
,,,,,,,,743,3204.75
,,,,,,,,744,2902.25
,,,,,,,,745,2707.5
,,,,,,,,746,2600.25
,,,,,,,,747,2548.75
,,,,,,,,748,2549
,,,,,,,,749,2620.75
,,,,,,,,750,2877.75
,,,,,,,,751,3358.25
,,,,,,,,752,3635.75
,,,,,,,,753,3663.25
,,,,,,,,754,3665.75
,,,,,,,,755,3663
,,,,,,,,756,3655.5
,,,,,,,,757,3617.75
,,,,,,,,758,3583
,,,,,,,,759,3511
,,,,,,,,760,3480.75
,,,,,,,,761,3581.25
,,,,,,,,762,3899.5
,,,,,,,,763,3943
,,,,,,,,764,3846.25
,,,,,,,,765,3691.25
,,,,,,,,766,3440.25
,,,,,,,,767,3106
,,,,,,,,768,2809.75
,,,,,,,,769,2618
,,,,,,,,770,2519.25
,,,,,,,,771,2474.25
,,,,,,,,772,2478
,,,,,,,,773,2560.5
,,,,,,,,774,2827
,,,,,,,,775,3325.5
,,,,,,,,776,3589.75
,,,,,,,,777,3638.5
,,,,,,,,778,3671.75
,,,,,,,,779,3707.5
,,,,,,,,780,3715.5
,,,,,,,,781,3700.5
,,,,,,,,782,3694.25
,,,,,,,,783,3682.25
,,,,,,,,784,3715.75
,,,,,,,,785,3876.75
,,,,,,,,786,4116.5
,,,,,,,,787,4128
,,,,,,,,788,4033.5
,,,,,,,,789,3887
,,,,,,,,790,3635
,,,,,,,,791,3307.25
,,,,,,,,792,3013.5
,,,,,,,,793,2820.75
,,,,,,,,794,2718
,,,,,,,,795,2681.25
,,,,,,,,796,2686.5
,,,,,,,,797,2769.5
,,,,,,,,798,3038
,,,,,,,,799,3533.5
,,,,,,,,800,3777.5
,,,,,,,,801,3807.25
,,,,,,,,802,3798.25
,,,,,,,,803,3789.75
,,,,,,,,804,3752.75
,,,,,,,,805,3684.5
,,,,,,,,806,3638.25
,,,,,,,,807,3581.75
,,,,,,,,808,3563.25
,,,,,,,,809,3669.25
,,,,,,,,810,3962.75
,,,,,,,,811,4002.75
,,,,,,,,812,3903.75
,,,,,,,,813,3772.5
,,,,,,,,814,3576.5
,,,,,,,,815,3309.25
,,,,,,,,816,3021.25
,,,,,,,,817,2808.5
,,,,,,,,818,2691
,,,,,,,,819,2625.75
,,,,,,,,820,2600.5
,,,,,,,,821,2620
,,,,,,,,822,2715
,,,,,,,,823,2901.75
,,,,,,,,824,3093.5
,,,,,,,,825,3296
,,,,,,,,826,3419.5
,,,,,,,,827,3461.75
,,,,,,,,828,3435.25
,,,,,,,,829,3378.25
,,,,,,,,830,3307
,,,,,,,,831,3262.75
,,,,,,,,832,3266.5
,,,,,,,,833,3395.25
,,,,,,,,834,3723
,,,,,,,,835,3794.25
,,,,,,,,836,3706.75
,,,,,,,,837,3602.25
,,,,,,,,838,3442.75
,,,,,,,,839,3230.25
,,,,,,,,840,3007
,,,,,,,,841,2828.25
,,,,,,,,842,2726.75
,,,,,,,,843,2679.75
,,,,,,,,844,2666.5
,,,,,,,,845,2686.75
,,,,,,,,846,2765.25
,,,,,,,,847,2895.5
,,,,,,,,848,3055
,,,,,,,,849,3266.5
,,,,,,,,850,3402
,,,,,,,,851,3458.25
,,,,,,,,852,3477.25
,,,,,,,,853,3463
,,,,,,,,854,3414
,,,,,,,,855,3379.25
,,,,,,,,856,3398
,,,,,,,,857,3546
,,,,,,,,858,3864
,,,,,,,,859,3813.25
,,,,,,,,860,3627.5
,,,,,,,,861,3533.5
,,,,,,,,862,3381
,,,,,,,,863,3264.75
,,,,,,,,864,2997
,,,,,,,,865,2796
,,,,,,,,866,2701.25
,,,,,,,,867,2667
,,,,,,,,868,2676.25
,,,,,,,,869,2761.5
,,,,,,,,870,3020.5
,,,,,,,,871,3493.25
,,,,,,,,872,3728.5
,,,,,,,,873,3761.75
,,,,,,,,874,3741.75
,,,,,,,,875,3731.75
,,,,,,,,876,3698.5
,,,,,,,,877,3633
,,,,,,,,878,3582.25
,,,,,,,,879,3518.5
,,,,,,,,880,3492.25
,,,,,,,,881,3601
,,,,,,,,882,3943.75
,,,,,,,,883,4042.5
,,,,,,,,884,3942.25
,,,,,,,,885,3768.75
,,,,,,,,886,3498.75
,,,,,,,,887,3173.5
,,,,,,,,888,2877.75
,,,,,,,,889,2691
,,,,,,,,890,2593.25
,,,,,,,,891,2554.75
,,,,,,,,892,2559.75
,,,,,,,,893,2645
,,,,,,,,894,2913.75
,,,,,,,,895,3392.5
,,,,,,,,896,3632.25
,,,,,,,,897,3657.75
,,,,,,,,898,3660
