Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_MW_z1,Load_MW_z2
,,,,,,,,605,35115,1560
,,,,,,,,606,34876,1550
,,,,,,,,607,35991,1599
,,,,,,,,608,38810,1724
,,,,,,,,609,41518,1845
,,,,,,,,610,43093,1915
,,,,,,,,611,45959,2042
,,,,,,,,612,46363,2060
,,,,,,,,613,50223,2232
,,,,,,,,614,49064,2180
,,,,,,,,615,46709,2075
,,,,,,,,616,43292,1924
,,,,,,,,617,43156,1918
,,,,,,,,618,41604,1849
,,,,,,,,619,41270,1834
,,,,,,,,620,43385,1928
,,,,,,,,621,43886,1950
,,,,,,,,622,43651,1940
,,,,,,,,623,43355,1926
,,,,,,,,624,41681,1852
,,,,,,,,625,39436,1752
,,,,,,,,626,37009,1644
,,,,,,,,627,35970,1598
,,,,,,,,628,35184,1563
,,,,,,,,629,34692,1541
,,,,,,,,630,35045,1557
,,,,,,,,631,38081,1692
,,,,,,,,632,41165,1829
,,,,,,,,633,44147,1962
,,,,,,,,634,45272,2012
,,,,,,,,635,47316,2102
,,,,,,,,636,47245,2099
,,,,,,,,637,50842,2259
,,,,,,,,638,49151,2184
,,,,,,,,639,46305,2058
,,,,,,,,640,42627,1894
,,,,,,,,641,42390,1884
,,,,,,,,642,40689,1808
,,,,,,,,643,39853,1771
,,,,,,,,644,41318,1836
,,,,,,,,645,41091,1826
,,,,,,,,646,40544,1801
,,,,,,,,647,40470,1798
,,,,,,,,648,39395,1750
,,,,,,,,649,37311,1658
,,,,,,,,650,33630,1494
,,,,,,,,651,32094,1426
,,,,,,,,652,30695,1364
,,,,,,,,653,29980,1332
,,,,,,,,654,30092,1337
,,,,,,,,655,32822,1458
,,,,,,,,656,33640,1495
,,,,,,,,657,37624,1672
,,,,,,,,658,40545,1802
,,,,,,,,659,42817,1903
,,,,,,,,660,43901,1951
,,,,,,,,661,47741,2121
,,,,,,,,662,46086,2048
,,,,,,,,663,45404,2017
,,,,,,,,664,45052,2002
,,,,,,,,665,44911,1996
,,,,,,,,666,42644,1895
,,,,,,,,667,42249,1877
,,,,,,,,668,45314,2013
,,,,,,,,669,44209,1964
,,,,,,,,670,43393,1928
,,,,,,,,671,42466,1887
,,,,,,,,672,41544,1846
,,,,,,,,673,39007,1733
,,,,,,,,674,37373,1661
,,,,,,,,675,36103,1604
,,,,,,,,676,35424,1574
,,,,,,,,677,35484,1577
,,,,,,,,678,36102,1604
,,,,,,,,679,38076,1692
,,,,,,,,680,38697,1719
,,,,,,,,681,42798,1902
,,,,,,,,682,45056,2002
,,,,,,,,683,46761,2078
,,,,,,,,684,46886,2083
,,,,,,,,685,50581,2248
,,,,,,,,686,48501,2155
,,,,,,,,687,46942,2086
,,,,,,,,688,44829,1992
,,,,,,,,689,43653,1940
,,,,,,,,690,40281,1790
,,,,,,,,691,39896,1773
,,,,,,,,692,43315,1925
,,,,,,,,693,42837,1903
,,,,,,,,694,42282,1879
,,,,,,,,695,41640,1850
,,,,,,,,696,40047,1779
,,,,,,,,697,36849,1637
,,,,,,,,698,36679,1630
,,,,,,,,699,34999,1555
,,,,,,,,700,34121,1516
,,,,,,,,701,33731,1499
,,,,,,,,702,34786,1546
,,,,,,,,703,36297,1613
,,,,,,,,704,39486,1754
,,,,,,,,705,43231,1921
,,,,,,,,706,45419,2018
,,,,,,,,707,48671,2163
,,,,,,,,708,49625,2205
,,,,,,,,709,54119,2405
,,,,,,,,710,52203,2320
,,,,,,,,711,48652,2162
,,,,,,,,712,44376,1972
,,,,,,,,713,43656,1940
,,,,,,,,714,41895,1862
,,,,,,,,715,42010,1867
,,,,,,,,716,43656,1940
,,,,,,,,717,43573,1936
,,,,,,,,718,42615,1894
,,,,,,,,719,41747,1855
,,,,,,,,720,39677,1763
,,,,,,,,721,37413,1662
,,,,,,,,722,34840,1548
,,,,,,,,723,32951,1464
,,,,,,,,724,31368,1394
,,,,,,,,725,30087,1337
,,,,,,,,726,29589,1315
,,,,,,,,727,31497,1399
,,,,,,,,728,34190,1519
,,,,,,,,729,37204,1653
,,,,,,,,730,39054,1735
,,,,,,,,731,42316,1880
,,,,,,,,732,43675,1941
,,,,,,,,733,47006,2089
,,,,,,,,734,45987,2043
,,,,,,,,735,44062,1958
,,,,,,,,736,41463,1842
,,,,,,,,737,41290,1835
,,,,,,,,738,40595,1804
,,,,,,,,739,40427,1796
,,,,,,,,740,42005,1866
,,,,,,,,741,42430,1885
,,,,,,,,742,41770,1856
,,,,,,,,743,41235,1832
,,,,,,,,744,39305,1746
,,,,,,,,745,37497,1666
,,,,,,,,746,35212,1565
,,,,,,,,747,34040,1512
,,,,,,,,748,32666,1451
,,,,,,,,749,31649,1406
,,,,,,,,750,31072,1380
,,,,,,,,751,32796,1457
,,,,,,,,752,34563,1536
,,,,,,,,753,35961,1598
,,,,,,,,754,37315,1658
,,,,,,,,755,39308,1747
,,,,,,,,756,40571,1803
,,,,,,,,757,43541,1935
,,,,,,,,758,43981,1954
,,,,,,,,759,42103,1871
,,,,,,,,760,40540,1801
,,,,,,,,761,40422,1796
,,,,,,,,762,40388,1795
,,,,,,,,763,40391,1795
,,,,,,,,764,42399,1884
,,,,,,,,765,43104,1915
,,,,,,,,766,42729,1899
,,,,,,,,767,42413,1885
,,,,,,,,768,40940,1819
,,,,,,,,769,39348,1748
,,,,,,,,770,37786,1679
,,,,,,,,771,36638,1628
,,,,,,,,772,35019,1556
,,,,,,,,773,33331,1481
,,,,,,,,774,32322,1436
,,,,,,,,775,33133,1472
,,,,,,,,776,34918,1551
,,,,,,,,777,36352,1615
,,,,,,,,778,37937,1686
,,,,,,,,779,40169,1785
,,,,,,,,780,41249,1833
,,,,,,,,781,44449,1975
,,,,,,,,782,44556,1980
,,,,,,,,783,42413,1885
,,,,,,,,784,40182,1785
,,,,,,,,785,40027,1778
,,,,,,,,786,39887,1772
,,,,,,,,787,40129,1783
,,,,,,,,788,42245,1877
,,,,,,,,789,42769,1900
,,,,,,,,790,42155,1873
,,,,,,,,791,41737,1854
,,,,,,,,792,40368,1794
,,,,,,,,793,38814,1725
,,,,,,,,794,36605,1626
,,,,,,,,795,35736,1588
,,,,,,,,796,34326,1525
,,,,,,,,797,32922,1463
,,,,,,,,798,31992,1421
,,,,,,,,799,33097,1471
,,,,,,,,800,34306,1524
,,,,,,,,801,35634,1583
,,,,,,,,802,36890,1639
,,,,,,,,803,39098,1737
,,,,,,,,804,40413,1796
,,,,,,,,805,43682,1941
,,,,,,,,806,44167,1962
,,,,,,,,807,42372,1883
,,,,,,,,808,40641,1806
,,,,,,,,809,40513,1800
,,,,,,,,810,40278,1790
,,,,,,,,811,40118,1783
,,,,,,,,812,41735,1854
,,,,,,,,813,41918,1863
,,,,,,,,814,41357,1838
,,,,,,,,815,41220,1832
,,,,,,,,816,40694,1808
,,,,,,,,817,39665,1762
,,,,,,,,818,37275,1656
,,,,,,,,819,36018,1600
,,,,,,,,820,34505,1533
,,,,,,,,821,32649,1451
,,,,,,,,822,31240,1388
,,,,,,,,823,31122,1383
,,,,,,,,824,30757,1366
,,,,,,,,825,32174,1429
,,,,,,,,826,33694,1497
,,,,,,,,827,35102,1560
,,,,,,,,828,36555,1624
,,,,,,,,829,39443,1753
,,,,,,,,830,38652,1717
,,,,,,,,831,39289,1746
,,,,,,,,832,39929,1774
,,,,,,,,833,40039,1779
,,,,,,,,834,39110,1738
,,,,,,,,835,40049,1779
,,,,,,,,836,42064,1869
,,,,,,,,837,42364,1882
,,,,,,,,838,41869,1860
,,,,,,,,839,41678,1852
,,,,,,,,840,41029,1823
,,,,,,,,841,39419,1751
,,,,,,,,842,36965,1642
,,,,,,,,843,35221,1565
,,,,,,,,844,33371,1483
,,,,,,,,845,31994,1421
