Time_Index,CT_NG,ME_NG,MA_NG,None
434,2.725,2.725,2.64,0
435,2.725,2.725,2.64,0
436,2.725,2.725,2.64,0
437,2.725,2.725,2.64,0
438,2.725,2.725,2.64,0
439,2.725,2.725,2.64,0
440,2.725,2.725,2.64,0
441,2.725,2.725,2.64,0
442,2.725,2.725,2.64,0
443,2.725,2.725,2.64,0
444,2.725,2.725,2.64,0
445,2.725,2.725,2.64,0
446,2.725,2.725,2.64,0
447,2.725,2.725,2.64,0
448,2.725,2.725,2.64,0
449,2.725,2.725,2.64,0
450,2.725,2.725,2.64,0
451,2.725,2.725,2.64,0
452,2.725,2.725,2.64,0
453,2.725,2.725,2.64,0
454,2.725,2.725,2.64,0
455,2.725,2.725,2.64,0
456,2.725,2.725,2.64,0
457,2.725,2.725,2.64,0
458,2.725,2.725,2.64,0
459,2.725,2.725,2.64,0
460,2.725,2.725,2.64,0
461,2.725,2.725,2.64,0
462,2.725,2.725,2.64,0
463,2.725,2.725,2.64,0
464,2.725,2.725,2.64,0
465,2.725,2.725,2.64,0
466,2.725,2.725,2.64,0
467,2.725,2.725,2.64,0
468,2.725,2.725,2.64,0
469,2.725,2.725,2.64,0
470,2.725,2.725,2.64,0
471,2.725,2.725,2.64,0
472,2.725,2.725,2.64,0
473,2.725,2.725,2.64,0
474,2.725,2.725,2.64,0
475,2.725,2.725,2.64,0
476,2.725,2.725,2.64,0
477,2.725,2.725,2.64,0
478,2.725,2.725,2.64,0
479,2.725,2.725,2.64,0
480,2.725,2.725,2.64,0
481,2.725,2.725,2.64,0
482,2.725,2.725,2.64,0
483,2.725,2.725,2.64,0
484,2.725,2.725,2.64,0
485,2.725,2.725,2.64,0
486,2.725,2.725,2.64,0
487,2.725,2.725,2.64,0
488,2.725,2.725,2.64,0
489,2.725,2.725,2.64,0
490,2.725,2.725,2.64,0
491,2.725,2.725,2.64,0
492,2.725,2.725,2.64,0
493,2.725,2.725,2.64,0
494,2.725,2.725,2.64,0
495,2.725,2.725,2.64,0
496,2.725,2.725,2.64,0
497,2.725,2.725,2.64,0
498,2.725,2.725,2.64,0
499,2.725,2.725,2.64,0
500,2.725,2.725,2.64,0
501,2.725,2.725,2.64,0
502,2.725,2.725,2.64,0
503,2.725,2.725,2.64,0
504,2.725,2.725,2.64,0
505,2.725,2.725,2.64,0
506,2.725,2.725,2.64,0
507,2.725,2.725,2.64,0
508,2.725,2.725,2.64,0
509,2.725,2.725,2.64,0
510,2.725,2.725,2.64,0
511,2.725,2.725,2.64,0
512,2.725,2.725,2.64,0
513,2.725,2.725,2.64,0
514,2.725,2.725,2.64,0
515,2.725,2.725,2.64,0
516,2.725,2.725,2.64,0
517,2.725,2.725,2.64,0
518,2.725,2.725,2.64,0
519,2.725,2.725,2.64,0
520,2.725,2.725,2.64,0
521,2.725,2.725,2.64,0
522,2.725,2.725,2.64,0
523,2.725,2.725,2.64,0
524,2.725,2.725,2.64,0
525,2.725,2.725,2.64,0
526,2.725,2.725,2.64,0
527,2.725,2.725,2.64,0
528,2.725,2.725,2.64,0
529,2.725,2.725,2.64,0
530,2.725,2.725,2.64,0
531,2.725,2.725,2.64,0
532,2.725,2.725,2.64,0
533,2.725,2.725,2.64,0
534,2.725,2.725,2.64,0
535,2.725,2.725,2.64,0
536,2.725,2.725,2.64,0
537,2.725,2.725,2.64,0
538,2.725,2.725,2.64,0
539,2.725,2.725,2.64,0
540,2.725,2.725,2.64,0
541,2.725,2.725,2.64,0
542,2.725,2.725,2.64,0
543,2.725,2.725,2.64,0
544,2.725,2.725,2.64,0
545,2.725,2.725,2.64,0
546,2.725,2.725,2.64,0
547,2.725,2.725,2.64,0
548,2.725,2.725,2.64,0
549,2.725,2.725,2.64,0
550,2.725,2.725,2.64,0
551,2.725,2.725,2.64,0
552,2.725,2.725,2.64,0
553,2.725,2.725,2.64,0
554,2.725,2.725,2.64,0
555,2.725,2.725,2.64,0
556,2.725,2.725,2.64,0
557,2.725,2.725,2.64,0
558,2.725,2.725,2.64,0
559,2.725,2.725,2.64,0
560,2.725,2.725,2.64,0
561,2.725,2.725,2.64,0
562,2.725,2.725,2.64,0
563,2.725,2.725,2.64,0
