Year,Hour_Index,Interior_Wind,Coastal_Wind,Solar_PV_DC,Solar_PV_AC,Year,Hour_Index,Interior_Wind,Coastal_Wind,Solar_PV_DC,Solar_PV_AC,Year,Hour_Index,Interior_Wind,Coastal_Wind,Solar_PV_DC,Solar_PV_AC
2020,76,0.344333333,0.861333333,0,0,2021,76,0.837,0.781666667,0,0,2022,76,0.884,0.089666667,0,0
2020,77,0.299333333,0.847666667,0,0,2021,77,0.925666667,0.742333333,0,0,2022,77,0.894,0.107,0,0
2020,78,0.324666667,0.831333333,0,0,2021,78,0.939333333,0.692,0,0,2022,78,0.908666667,0.113666667,0,0
2020,79,0.433,0.811666667,0,0,2021,79,0.932,0.657333333,0,0,2022,79,0.919666667,0.104333333,0,0
2020,80,0.575666667,0.776333333,0,0,2021,80,0.926,0.609,0,0,2022,80,0.925333333,0.087,0,0
2020,81,0.711333333,0.746333333,0,0,2021,81,0.927333333,0.540333333,0,0,2022,81,0.921,0.074,0,0
2020,82,0.793,0.722,0,0,2021,82,0.930666667,0.472,0,0,2022,82,0.911,0.043,0,0
2020,83,0.816333333,0.689333333,0,0,2021,83,0.927666667,0.410333333,0,0,2022,83,0.896,0.019666667,0,0
2020,84,0.807666667,0.645333333,0,0,2021,84,0.918666667,0.327666667,0,0,2022,84,0.886666667,0.009333333,0,0
2020,85,0.790333333,0.593333333,0,0,2021,85,0.911333333,0.236666667,0,0,2022,85,0.887333333,0.004666667,0,0
2020,86,0.765666667,0.537333333,0.005333333,0.007093333,2021,86,0.902333333,0.159,0.004333333,0.005763333,2022,86,0.885666667,0.004666667,0.007333333,0.009753333
2020,87,0.566333333,0.286666667,0.553666667,0.736376667,2021,87,0.808666667,0.061333333,0.524,0.69692,2022,87,0.812666667,0.004666667,0.621333333,0.826373333
2020,88,0.154666667,0.104333333,0.746,0.977443333,2021,88,0.603,0.010333333,0.722333333,0.960703333,2022,88,0.718333333,0.014,0.788666667,0.99562
2020,89,0.045333333,0.082,0.811666667,1,2021,89,0.578,0.034,0.794666667,1,2022,89,0.864333333,0.085333333,0.840666667,1
2020,90,0.077,0.074666667,0.832333333,1,2021,90,0.509666667,0.052666667,0.823,1,2022,90,0.885666667,0.157666667,0.853666667,1
2020,91,0.16,0.061333333,0.826666667,1,2021,91,0.493666667,0.056666667,0.823,1,2022,91,0.9,0.218333333,0.842666667,1
2020,92,0.256,0.044333333,0.813,1,2021,92,0.537333333,0.047666667,0.808666667,1,2022,92,0.915333333,0.261,0.823666667,1
2020,93,0.322666667,0.027,0.777666667,1,2021,93,0.578333333,0.031666667,0.772333333,1,2022,93,0.928,0.289,0.787,1
2020,94,0.355,0.010666667,0.710666667,0.945186667,2021,94,0.571,0.018666667,0.703333333,0.935433333,2022,94,0.916333333,0.305,0.719,0.95627
2020,95,0.36,0.004666667,0.574666667,0.764306667,2021,95,0.501666667,0.020333333,0.562,0.74746,2022,95,0.858333333,0.330666667,0.59,0.7847
2020,96,0.441666667,0.037,0.228333333,0.303683333,2021,96,0.529,0.100666667,0.217666667,0.289496667,2022,96,0.867333333,0.422,0.249,0.33117
2020,97,0.543333333,0.162666667,0,0,2021,97,0.547333333,0.233333333,0,0,2022,97,0.896666667,0.536,0,0
2020,98,0.637666667,0.325333333,0,0,2021,98,0.485666667,0.327,0,0,2022,98,0.917333333,0.604666667,0,0
2020,99,0.749333333,0.46,0,0,2021,99,0.378666667,0.392,0,0,2022,99,0.928,0.654,0,0
2020,100,0.867,0.531,0,0,2021,100,0.286333333,0.399333333,0,0,2022,100,0.941666667,0.700666667,0,0
2020,101,0.927,0.571,0,0,2021,101,0.225333333,0.355333333,0,0,2022,101,0.946,0.725,0,0
2020,102,0.940666667,0.598333333,0,0,2021,102,0.175666667,0.288333333,0,0,2022,102,0.941333333,0.729666667,0,0
2020,103,0.935,0.610666667,0,0,2021,103,0.133,0.212,0,0,2022,103,0.930666667,0.730666667,0,0
2020,104,0.927333333,0.598666667,0,0,2021,104,0.100666667,0.146333333,0,0,2022,104,0.92,0.704666667,0,0
2020,105,0.919,0.558,0,0,2021,105,0.080666667,0.097,0,0,2022,105,0.911333333,0.624333333,0,0
2020,106,0.910333333,0.477666667,0,0,2021,106,0.069333333,0.075,0,0,2022,106,0.898666667,0.505666667,0,0
2020,107,0.896666667,0.388333333,0,0,2021,107,0.066666667,0.080666667,0,0,2022,107,0.892666667,0.391,0,0
2020,108,0.875666667,0.319333333,0,0,2021,108,0.080666667,0.117333333,0,0,2022,108,0.894666667,0.311333333,0,0
2020,109,0.854333333,0.270666667,0,0,2021,109,0.113,0.159333333,0,0,2022,109,0.893,0.267666667,0,0
2020,110,0.842333333,0.218,0.004666667,0.006206667,2021,110,0.157333333,0.187,0.004333333,0.005763333,2022,110,0.88,0.255,0.006333333,0.008423333
2020,111,0.749666667,0.094666667,0.538333333,0.715983333,2021,111,0.208666667,0.135333333,0.49,0.6517,2022,111,0.823333333,0.198333333,0.562333333,0.747903333
2020,112,0.489,0.026,0.732,0.96636,2021,112,0.111333333,0.102666667,0.684666667,0.910606667,2022,112,0.873,0.203,0.745666667,0.973896667
2020,113,0.491666667,0.198333333,0.799666667,1,2021,113,0.210333333,0.142,0.760666667,0.98232,2022,113,0.747333333,0.363333333,0.814,1
2020,114,0.688666667,0.392666667,0.823,1,2021,114,0.610333333,0.174666667,0.789,1,2022,114,0.509666667,0.345,0.842,1
2020,115,0.596333333,0.471666667,0.827,1,2021,115,0.654333333,0.196,0.792,1,2022,115,0.266333333,0.271,0.842333333,1
2020,116,0.447,0.511666667,0.815,1,2021,116,0.685333333,0.238,0.778666667,0.996063333,2022,116,0.110333333,0.223,0.827666667,1
2020,117,0.361333333,0.498666667,0.781666667,1,2021,117,0.720666667,0.307333333,0.731333333,0.96996,2022,117,0.036666667,0.195,0.790333333,1
2020,118,0.305666667,0.477666667,0.713666667,0.949176667,2021,118,0.760666667,0.409333333,0.586,0.77938,2022,118,0.015,0.197,0.721333333,0.959373333
2020,119,0.294666667,0.464333333,0.58,0.7714,2021,119,0.738,0.52,0.343,0.45619,2022,119,0.013,0.212666667,0.582333333,0.774503333
2020,120,0.436333333,0.602,0.240666667,0.320086667,2021,120,0.777333333,0.601333333,0.056333333,0.074923333,2022,120,0.012666667,0.298666667,0.241,0.32053
2020,121,0.539666667,0.730666667,0,0,2021,121,0.842,0.676,0,0,2022,121,0.007,0.427666667,0,0
2020,122,0.549333333,0.776,0,0,2021,122,0.859,0.713666667,0,0,2022,122,0.022666667,0.518,0,0
2020,123,0.501,0.801333333,0,0,2021,123,0.863333333,0.746333333,0,0,2022,123,0.062333333,0.574666667,0,0
2020,124,0.403666667,0.814,0,0,2021,124,0.862,0.788666667,0,0,2022,124,0.091333333,0.616333333,0,0
2020,125,0.306666667,0.813,0,0,2021,125,0.872,0.778666667,0,0,2022,125,0.124333333,0.648,0,0
2020,126,0.242,0.802333333,0,0,2021,126,0.882333333,0.715333333,0,0,2022,126,0.279333333,0.670333333,0,0
2020,127,0.201,0.778666667,0,0,2021,127,0.879333333,0.659,0,0,2022,127,0.463333333,0.676,0,0
2020,128,0.169666667,0.746,0,0,2021,128,0.850666667,0.661,0,0,2022,128,0.464333333,0.636333333,0,0
2020,129,0.141333333,0.704,0,0,2021,129,0.806666667,0.673333333,0,0,2022,129,0.433,0.554,0,0
2020,130,0.102666667,0.642666667,0,0,2021,130,0.787333333,0.685,0,0,2022,130,0.493,0.461,0,0
2020,131,0.066666667,0.572,0,0,2021,131,0.812333333,0.684666667,0,0,2022,131,0.645333333,0.358333333,0,0
2020,132,0.045666667,0.509666667,0,0,2021,132,0.844666667,0.702333333,0,0,2022,132,0.774,0.261,0,0
2020,133,0.038,0.459,0,0,2021,133,0.875666667,0.743333333,0,0,2022,133,0.885,0.178,0,0
2020,134,0.072,0.418666667,0.003,0.00399,2021,134,0.898,0.781,0.002666667,0.003546667,2022,134,0.960666667,0.120666667,0.004666667,0.006206667
2020,135,0.141,0.261,0.269333333,0.358213333,2021,135,0.877666667,0.765666667,0.492333333,0.654803333,2022,135,0.97,0.055333333,0.457,0.60781
2020,136,0.081666667,0.405,0.398333333,0.529783333,2021,136,0.970666667,0.809666667,0.682666667,0.907946667,2022,136,0.957333333,0.049666667,0.695333333,0.924793333
2020,137,0.109333333,0.668,0.52,0.6916,2021,137,0.971666667,0.849333333,0.735666667,0.950843333,2022,137,0.913333333,0.153,0.81,1
2020,138,0.352,0.633333333,0.581333333,0.773173333,2021,138,0.968333333,0.863333333,0.796333333,1,2022,138,0.862333333,0.125666667,0.860666667,1
2020,139,0.615333333,0.583,0.645333333,0.85425,2021,139,0.964333333,0.836333333,0.806333333,1,2022,139,0.798666667,0.083666667,0.864666667,1
2020,140,0.833666667,0.515333333,0.647666667,0.861396667,2021,140,0.965666667,0.710333333,0.806,1,2022,140,0.688666667,0.111,0.854666667,1
2020,141,0.938333333,0.436,0.647,0.86051,2021,141,0.969,0.560666667,0.777666667,1,2022,141,0.604666667,0.179333333,0.818333333,1
2020,142,0.964666667,0.364,0.601666667,0.800216667,2021,142,0.970333333,0.620666667,0.715666667,0.951836667,2022,142,0.529333333,0.272666667,0.741333333,0.98232
2020,143,0.964,0.318333333,0.498666667,0.663226667,2021,143,0.968,0.800666667,0.580333333,0.771843333,2022,143,0.432,0.441,0.589666667,0.784256667
2020,144,0.939666667,0.371666667,0.227,0.30191,2021,144,0.951,0.900333333,0.244,0.32452,2022,144,0.338333333,0.681333333,0.227,0.30191
2020,145,0.898666667,0.441666667,0,0,2021,145,0.939666667,0.953333333,0,0,2022,145,0.338,0.841,0,0
2020,146,0.819666667,0.464666667,0,0,2021,146,0.928333333,0.946,0,0,2022,146,0.324333333,0.884,0,0
2020,147,0.687666667,0.426,0,0,2021,147,0.919333333,0.931333333,0,0,2022,147,0.301666667,0.906333333,0,0
2020,148,0.475333333,0.308333333,0,0,2021,148,0.904,0.934333333,0,0,2022,148,0.299666667,0.930333333,0,0
2020,149,0.252666667,0.182333333,0,0,2021,149,0.878,0.919333333,0,0,2022,149,0.306666667,0.935666667,0,0
