Time_Index,None,waste_biomass,west_south_central_coal,west_south_central_naturalgas,west_south_central_uranium,west_south_central_distillate
267,0.0,1.0,1.86,2.85,0.69,17.96
268,0.0,1.0,1.86,2.85,0.69,17.96
269,0.0,1.0,1.86,2.85,0.69,17.96
270,0.0,1.0,1.86,2.85,0.69,17.96
271,0.0,1.0,1.86,2.85,0.69,17.96
272,0.0,1.0,1.86,2.85,0.69,17.96
273,0.0,1.0,1.86,2.85,0.69,17.96
274,0.0,1.0,1.86,2.85,0.69,17.96
275,0.0,1.0,1.86,2.85,0.69,17.96
276,0.0,1.0,1.86,2.85,0.69,17.96
277,0.0,1.0,1.86,2.85,0.69,17.96
278,0.0,1.0,1.86,2.85,0.69,17.96
279,0.0,1.0,1.86,2.85,0.69,17.96
280,0.0,1.0,1.86,2.85,0.69,17.96
281,0.0,1.0,1.86,2.85,0.69,17.96
282,0.0,1.0,1.86,2.85,0.69,17.96
283,0.0,1.0,1.86,2.85,0.69,17.96
284,0.0,1.0,1.86,2.85,0.69,17.96
285,0.0,1.0,1.86,2.85,0.69,17.96
286,0.0,1.0,1.86,2.85,0.69,17.96
287,0.0,1.0,1.86,2.85,0.69,17.96
288,0.0,1.0,1.86,2.85,0.69,17.96
289,0.0,1.0,1.86,2.85,0.69,17.96
290,0.0,1.0,1.86,2.85,0.69,17.96
291,0.0,1.0,1.86,2.85,0.69,17.96
292,0.0,1.0,1.86,2.85,0.69,17.96
293,0.0,1.0,1.86,2.85,0.69,17.96
294,0.0,1.0,1.86,2.85,0.69,17.96
295,0.0,1.0,1.86,2.85,0.69,17.96
296,0.0,1.0,1.86,2.85,0.69,17.96
297,0.0,1.0,1.86,2.85,0.69,17.96
298,0.0,1.0,1.86,2.85,0.69,17.96
299,0.0,1.0,1.86,2.85,0.69,17.96
300,0.0,1.0,1.86,2.85,0.69,17.96
301,0.0,1.0,1.86,2.85,0.69,17.96
302,0.0,1.0,1.86,2.85,0.69,17.96
303,0.0,1.0,1.86,2.85,0.69,17.96
304,0.0,1.0,1.86,2.85,0.69,17.96
305,0.0,1.0,1.86,2.85,0.69,17.96
306,0.0,1.0,1.86,2.85,0.69,17.96
307,0.0,1.0,1.86,2.85,0.69,17.96
308,0.0,1.0,1.86,2.85,0.69,17.96
309,0.0,1.0,1.86,2.85,0.69,17.96
310,0.0,1.0,1.86,2.85,0.69,17.96
311,0.0,1.0,1.86,2.85,0.69,17.96
312,0.0,1.0,1.86,2.85,0.69,17.96
313,0.0,1.0,1.86,2.85,0.69,17.96
314,0.0,1.0,1.86,2.85,0.69,17.96
315,0.0,1.0,1.86,2.85,0.69,17.96
316,0.0,1.0,1.86,2.85,0.69,17.96
317,0.0,1.0,1.86,2.85,0.69,17.96
318,0.0,1.0,1.86,2.85,0.69,17.96
319,0.0,1.0,1.86,2.85,0.69,17.96
320,0.0,1.0,1.86,2.85,0.69,17.96
321,0.0,1.0,1.86,2.85,0.69,17.96
322,0.0,1.0,1.86,2.85,0.69,17.96
323,0.0,1.0,1.86,2.85,0.69,17.96
324,0.0,1.0,1.86,2.85,0.69,17.96
325,0.0,1.0,1.86,2.85,0.69,17.96
326,0.0,1.0,1.86,2.85,0.69,17.96
327,0.0,1.0,1.86,2.85,0.69,17.96
328,0.0,1.0,1.86,2.85,0.69,17.96
329,0.0,1.0,1.86,2.85,0.69,17.96
330,0.0,1.0,1.86,2.85,0.69,17.96
331,0.0,1.0,1.86,2.85,0.69,17.96
332,0.0,1.0,1.86,2.85,0.69,17.96
333,0.0,1.0,1.86,2.85,0.69,17.96
334,0.0,1.0,1.86,2.85,0.69,17.96
335,0.0,1.0,1.86,2.85,0.69,17.96
